lake_id,lake_name,lake_region,tn,tp,chla
47568,Coopers Lagoon,Coastal,1550,8,1.95
38974,Lake Brunner,Grey,218,6,0.8
23690,Lake Carrot,Aupouri Lakes,505,18.5,5.1
54737,Lake Dunstan,Upper Clutha,69,4,1.09
48177,Lake Ellesmere,Coastal,2200,220,64
47579,Lake Forsyth,Coastal,810,82,28
49200,Lake Hakanoa,Waikato,2002,120,48
12830,Lake Harihari,Waikato,312,12,2.05
39225,Lake Haupiri,Grey,389,14,1.12
54736,Lake Hawea,Upper Clutha,38,2.97,0.12
23682,Lake Heather,Aupouri Lakes,698,32.5,15.15
4345,Lake Horowhenua,Horowhenua,2590,96,24
50401,Lake Humuhumu,Pouto Lakes,345,13,6.5
